Client,Module,Date,Environment,Feature,Scenario,RepopStatus,Status,RerunStatus,RerunStatusViaUI,ConsolidatedStatus,Exception,RetryException,ExceptionHelp,FirstRunStartTime,FirstRunEndTime,Duration,DealName,DealID,UniqueTag,RequestID,FeatureFilePath,FilePairPath,GeneratedFile,EpicTicket,ScenarioTicket,FXDRCRRowFailure,BASE_FX,BASE_DR,BASE_CR,BASE_ROWS,GEN_FX,GEN_DR,GEN_CR,GEN_ROWS
Gold,"Core","04-30-2023","uat","Weekly Payable Export","Verify if Weekly Payables Export report can be generated successfully for Prior Week","Fail","Failed","Failed","NA","Failed","File -'/mnt/generatedFiles/uat/WeeklyPayablesExport-GAuto12-60389.xlsx' does not exist in Data Folder, Please Re-check given file","File -'/mnt/generatedFiles/uat/WeeklyPayablesExport-GAuto12-60529.xlsx' does not exist in Data Folder, Please Re-check given file","file -'/mnt/generatedfiles/uat/weeklypayablesexport-gauto12-60529.xlsx' does not exist in data folder, please re-check given file","2023-04-30 23:36:39","2023-04-30 23:37:23","44","--","--","@TC5541_goldWeeklyPayablesExportSmokeTest","--","features/Core/Gold/GoldWeeklyPayablesExport.feature","--","--","AUTO-1062","AUTO-5252","N","18648184.000","1030773.674","1030773.674","424.000","18648184.000","1030773.674","1030773.674","424.000",
AcctGregorianMEC,"Core","04-30-2023","uat","testing-of-capop-lease-with-flat-monthly-payments-under-asc-842","For deal *CaseAC167Scenario2.1-CapOpModificationFlatASC* and client AcctGregorianMEC repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:44:35","2023-04-30 23:48:10","214","--","--","@TC906_CaseAC167Scenario2.1-CapOpModificationFlatASC","39442","features/Core/AcctGregorianMEC/CaseAC167Scenario2.1-CapOpModificationFlatASC.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC817_TysonVariableLeasePaymentAdjustmentTest_Cap","--","AUTO-1061","AUTO-1405","N","16509368.000","39141.127","39141.127","400.000","16509368.000","39141.129","39141.129","400.000",
Gold,"Core","04-30-2023","uat","verify-if-portfolio-trial-balance-transaction-report-can-be-generated-successfully","Generate Portfolio trial balance transaction report for a cloned ledger M_ASC 840 Ledger","Pass","Failed","NA","NA","Failed","No WebObject: SetOfBooks FOUND, waited for: 1666sec.","--","The Scenario is failing to select an object within the application.Please verify that there has not been a UI change to this object, and that we are not seeing issues with application performance. Please rerun the test.  With repeated results if the issue still persists - contact the Automation team as a locator for a WebElement might be changed requiring maintenance.","2023-04-30 16:36:24","2023-04-30 16:48:48","743","Operating_Portofolio_Trial_Balance_ASC840","24477","@TC748_goldPortfolioTrialBalanceTransactionCurrencySmokeTest_MASC840","60359","features/Core/Gold/PortfolioTrialBalanceTransactionCurrency.feature","--","--","","","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Gold445MEC,"Core","04-30-2023","uat","Gold445MEC Accounting Regression Tests (REG642, REG646, REG652)","For deal REG-642_4MQ and client Gold445MEC repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 22:54:25","2023-04-30 22:57:37","191","REG-642_4MQ","50504","@TC3413_REG-642_4MQ","42851","features/Core/Gold445MEC/REGScenarios/Gold445MEC_REG642,REG646,REG652.feature","--","--","AUTO-992","AUTO-2055","Y","26844513.000","3640273.754","3640273.754","607.000","12147344.000","249567.073","249567.073","280.000",
SilverGregorianSOD,"Core","04-30-2023","uat","Portfolio Trial Balance V2 Report","User generates Portfolio Trial Balance V2 Report for deal LA8244-FXRemeasure_HVTC4_SecurityDeposit_A_M and ASC 842 Ledger- qdo1","Pass","Failed","NA","NA","Failed","Login Failed with Error message:: The account is locked. Please reset the password.","--","login failed with error message:: the account is locked. please reset the password.. Check the presence of this user under Access Control tab or contact the Automation team.","2023-04-30 16:17:22","2023-04-30 16:30:05","762","LA8244-FXRemeasure_HVTC4_SecurityDeposit_A_M","72046","@TC5933_PortfolioTrialBalanceV2-LA8244-FXRemeasure_HVTC4_SecurityDeposit_A_M","42670","features/Core/SilverGregorianSoD/PortfolioTrialBalanceLA8244_V2Report.feature","--","--","AUTO-3116","AUTO-6227","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorianAOP,"Core","04-30-2023","uat","Generate QAR and verify Isolate Variable Payments","User generates QAR and verifies generated report with the base file","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:18:21","2023-05-01 00:22:08","227","--","--","@TC4851_QAR_VariablePayment","--","features/Core/SilverGregorianAOP/QAR_Analysis_Report.feature","--","--","AUTO-3116","AUTO-4065","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Acme,"Core","04-30-2023","uat","Quarterly Metrics Report","User generates Quarterly Metrics Report and verifies added RFP date in the report","Fail","Failed","Failed","NA","Failed","Unable to natively click on the element SaveAndGenerateButton","Unable to natively click on the element SaveAndGenerateButton","The Scenario is failing to select an object within the application. Please verify that there has not been a UI change to this object, and that we are not seeing issues with application performance. Please rerun the test.  With repeated results if the issue still persists - contact the Automation team as a locator for a WebElement might be changed requiring maintenance.","2023-05-01 00:26:33","2023-05-01 00:38:49","736","--","--","@TC5519_ValidateRFPInQuarterlyMetricsReport","43092","features/Core/Acme/RfpValidationInQuarterlyMetricsReport.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/CIW/@TC5478_ImportExchangeRateForZeroValueRate","--","AUTO-3116","AUTO-5137","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorian,"Core","04-30-2023","uat","End Of Term Options","Verify system shows a validation Info message if Percent of amount financed is NOT provided for Early (Mid Term) Buyout","Fail","Passed","NA","NA","Passed","","","","2023-04-30 16:47:53","2023-04-30 16:48:52","58","--","--","@TC6029_EOTOptionsBuyoutAmountValidation","137032","features/Core/SilverGregorian/EOTOptionsAutomaticBuyoutAmountValidation.feature","--","--","AUTO-3116","AUTO-5893","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Gold445,"Core","04-30-2023","uat","gold445-accounting-regression-tests-(reg020-to-reg022)","For deal REG022_4 and client Gold445 repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 19:38:44","2023-04-30 19:41:52","188","REG022_4","50234","@TC531_REG022_4","67635","features/Core/Gold445/REGScenarios/Gold445_REG020,REG021,REG022.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5626_RemeasurementEffectiveDateforDealSinglePaymentAdjustment_LA-7615-2","--","78122","85298","N","16174852.000","191209.677","191209.677","392.000","16174852.000","191209.677","191209.677","392.000",
GoldGregorian,"Core","04-30-2023","uat","generate-goldgregorian-cause-of-change-report-for-completion-&-accuracy","For deal REG013_G and client Goldgregorian repop and validate Cause Of Change Report","Pass","Failed","NA","NA","Failed","null","--","Observed Null pointer Exception during Execution.Verify the Automation script.For aasistance, Please Contact Automation Team.","2023-04-30 18:13:16","2023-04-30 18:16:55","218","--","--","@TC1054_CauseOfChangeReportCATest","137180","features/Core/GoldGregorian/DisclosureReports/CauseOfChangeReportCATest.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3823_FederateUser_PositiveCase_AlphaNumericInExtId64AndKeyAsStaff","--","AUTO-992","AUTO-1518","N","16174852.000","191209.677","191209.677","392.000","16174852.000","191209.677","191209.677","392.000",
SilverGregorian,"Core","04-30-2023","uat","Exercise Mid-TermEOT Option","Verify Exercise MidTerm EOT Option ToDO on the Deal History is dequeued after Exercise option complete when Exercise option button queued on Deal History from the Deal History event","Fail","Failed","NA","NA","Failed","Timed out after 5 seconds. Unable to locate the element","--","timed out after 5 seconds. unable to locate the element","2023-04-30 18:23:10","2023-04-30 18:24:56","105","--","--","@TC5776_ExerciseMidTermOREOTOption","79452","features/Core/SilverGregorian/ExerciseMidTermOREOTOptionDequeued.feature","--","--","AUTO-3116","AUTO-5575","Y","59652378.000","478574.303","478574.303","1352.000","76485362.000","3167300.035","3167300.035","1738.000",
SilverGregorianAPI,"API","04-30-2023","uat","Verify filtered parameters when generating Payables Export","User verifies payables export generated successfully with filtered parameter Exclude New Yes, Exclude Transferred Yes, Exclude Paid Yes","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 16:37:33","2023-04-30 16:44:53","439","PayablesExportFilteredParameters","51193","@TC4616_PEFilteredParameters-YYY","39234","features/API/SilverGregorianAPI/PayablesExportFilteredParameters.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC4616_PEFilteredParameters-YYY","GeneratePayablesExport_749_TC4616_PEFilteredParametersYYY.xml","AUTO-3116","AUTO-3915","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Silver445,"Core","04-30-2023","uat","Ledger Export","For deal *LA8689-HVTC2-Advance* and client Silver445 repop and validate LE for Ledger ASC 842 Ledger- qdo1","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:21:53","2023-04-30 23:25:25","212","--","--","@TC5846_LA8689-HVTC2-Advance-Cap-OpDeal","43020","features/Core/Silver445/LA8689_HVTC-Advance-CapOpModDeals.feature","--","--","AUTO-1061","AUTO-5735","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Gold445,"Core","04-30-2023","uat","Verify Filter ledgers and Scope of ledgers by user via Access Control","Verify that list of ledgers under Access Control and list of ledgers under Settings are same","Fail","Passed","NA","NA","Passed","","","","2023-04-30 16:30:23","2023-04-30 16:32:16","113","--","--","@TC4387_ListOfLedgersViaAccessControl","136992","features/Core/Gold445/ManualScenarios/ScopeOfLedgersViaAccessControl.feature","--","--","AUTO-3116","AUTO-3411","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg244-to-reg246)","For deal REG245_G and client Goldgregorian repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:54:19","2023-04-30 23:57:38","198","REG245_G","567506","@TC601_REG245_G","137495","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG244,REG245,REG246.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC382_ModifyDealNonCoterminousRelation","--","78122","90837","Y","54900308.000","216031.734","216031.734","1260.000","8397840.000","16963.922","16963.922","194.000",
SilverGregorian,"Core","04-30-2023","uat","generate-report-le-with-a-specific-deal","For deal Impairment with prepayment HF6_test and client SilverGregorian repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 22:57:22","2023-04-30 23:00:50","207","Impairment with prepayment HF6_test","38699","@TC193_SilverGregorianImpairmentwithprepaymentSmokeTest","90614","features/Core/SilverGregorian/ImpairmentWithPrepayment.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC25_TysonAccountingLeaseJournalDetailsRegression_Cap","--","79368","79735","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorian,"Core","04-30-2023","uat","Booked Schedules List","Verify Booked Schedules List for accuracy","Fail","Failed","Failed","NA","Failed","Element ddnLedger was not visible in time - 30","Element ddnLedger was not visible in time - 30","The Scenario is failing to select an object within the application.Please verify that there has not been a UI change to this object, and that we are not seeing issues with application performance. Please rerun the test.  With repeated results if the issue still persists - contact the Automation team as a locator for a WebElement might be changed requiring maintenance.","2023-05-01 00:01:38","2023-05-01 00:02:49","70","--","--","@TC6080_BookedScheduleListReport","80011","features/Core/SilverGregorian/BookedScheduleListReportWithDiscloserReport_842Ledger.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5870_EOTReturnFeeEventOnDealSummary","--","AUTO-3116","AUTO-6323","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg282-to-reg286)","For deal REG284_G and client Goldgregorian repop and validate LE","Pass","Failed","NA","NA","Failed","Difference in total number of Rows from baseline :  Expected [2153] found [311] on sheet: Ledger Entries","Rerun did not happen due to Base File failure scenario","Mismatch observed in generated file when compared to basefile.Please verify the output by comparing the Generated file to the Basefile.","2023-04-30 18:29:39","2023-04-30 18:31:40","121","REG284_G","567528","@TC657_REG284_G","137222","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG282,REG284,REG286.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/GoldGregorian/@TC657_REG284_G/","TC657_LedgerExport-GGAuto65-137222.xlsx","78122","89210","Y","95331040.000","1779369.366","1779369.366","2152.000","13420704.000","89517.944","89517.944","310.000",
Silver445,"Core","04-30-2023","uat","verify-if-user-is-able-to-generate-le-for-445-straddle-issues-for-ac-208-t31-b6","For deal AC-208_T31_B6 and client Silver445 repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 16:07:27","2023-04-30 16:11:14","226","AC-208_T31_B6","51007","@TC2075_AC-208_T31_B6","42670","features/Core/Silver445/AC-208_T31_B6.feature","--","--","AUTO-1061","AUTO-1774","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Silver445,"Core","04-30-2023","uat","Generate Schedule Account Balance Trend Report","Verify Schedule Account Balance Trend Report with Reporting currency for ASC 842 Ledger- qdo1 and ACCTREG-P3-KitchenSink-Ar-*","--","TEST IN QUEUE","NA","NA","null","--","null","NA","2023-04-30 00:00:00","2023-04-30 00:00:00","0","null","--","@TC6541_ScheduleAccountBalanceTrendV1ReportASC842Ledgerqdo1Silver_P4","--","--","null","null","AUTO-6903","AUTO-7020","null","null","null","null","null","null","null","null","null",
SilverGregorian,"Core","04-30-2023","uat","Bulk Import - Portfolio","User do a portfolio import with asset allocation less then 100 percent and verify user should get allocation error","Fail","Failed","NA","NA","Failed","Error message not equal with expected expected [true] but found [false]","--","Actual value has deviation when compared with the Expected value. Rerun to confirm the failure and Create an exception for the deviation.","2023-04-30 18:05:48","2023-04-30 18:08:47","178","--","--","@TC5233_NegativeAssetAllocationPIWImport","28971","features/Core/SilverGregorian/PIWImportAllocationError.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5233_NegativeAssetAllocationPIWImport","--","AUTO-3116","AUTO-4885","Y","28925802.000","1829369.036","1829369.036","654.000","10966554.000","242664.049","242664.049","252.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-accounting-regression-tests-(reg399)","For deal REG399_G and client GoldGregorianMEC repop and Validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:37:08","2023-05-01 00:40:27","199","REG399_G","567724","@TC175_REG399_G","100215","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG398,REG399.feature","--","--","AUTO-73","AUTO-1058 ","Y","77648166.000","2451270.530","2451270.530","1782.000","81672832.000","2153849.239","2153849.239","1852.000",
SilverGregorianAPI,"API","04-30-2023","uat","federate-user-api-positive-scenario02","Create New SSO User through API request for positive case consisting AlphaNumericInExtId64AndKeyAsStaff data for client SilverGregorianAPI","Fail","Passed","NA","NA","Passed","","","","2023-04-30 18:03:28","2023-04-30 18:09:04","336","--","--","@TC3823_FederateUser_PositiveCase_AlphaNumericInExtId64AndKeyAsStaff","--","features/API/SilverGregorianAPI/FederateUserPositiveTest02API.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3823_FederateUser_PositiveCase_AlphaNumericInExtId64AndKeyAsStaff","FederateUser_258_TC3823_FederateUser_PositiveCase_AlphaNumericInExtId64AndKeyAsStaff.xml","AUTO-35","AUTO-1065","N","16174852.000","191209.677","191209.677","392.000","16174852.000","191209.677","191209.677","392.000",
SilverGregorianAOP,"Core","04-30-2023","uat","Testing of Deal Analysis Reports All Tabs ( Analysis, Overview, Related Exps, Amortization Schedule PaymentFiscal)","For deal CaseAC189-MultiplePACont and client SilverGregorianAOP repop and validate Deal Analysis Report","Pass","Failed","NA","NA","Failed","null","--","Observed Null pointer Exception during Execution.Verify the Automation script.For aasistance, Please Contact Automation Team.","2023-04-30 18:40:30","2023-04-30 18:44:41","251","CaseAC189-MultiplePACont","46842","@TC4441_DAR-CaseAC189-MultiplePACont","--","features/Core/SilverGregorianAOP/DAR-CaseAC189-MultiplePACont.feature","--","--","AUTO-1061","AUTO-3584","N","20127852.000","142141.416","142141.416","466.000","20127852.000","142141.416","142141.416","466.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-accounting-regression-tests-(reg555,reg556,reg557)","For deal REG-555_GMQ and client GoldGregorianMEC repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 19:48:41","2023-04-30 19:51:51","190","REG-555_GMQ","568170","@TC3254_REG-555_GMQ","99966","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG555,REG556,REG557.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5626_RemeasurementEffectiveDateforDealSinglePaymentAdjustment_LA-7615-2","--","AUTO-992","AUTO-1792","N","16174852.000","191209.677","191209.677","392.000","16174852.000","191209.677","191209.677","392.000",
Gold445MEC,"Core","04-30-2023","uat","Gold445MEC Accounting Regression Tests (REG713, REG719, REG721)","For deal REG-719_4MQ and client Gold445MEC repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:28:53","2023-05-01 00:32:03","190","REG-719_4MQ","50672","@TC4028_REG-719_4MQ","43016","features/Core/Gold445MEC/REGScenarios/Gold445MEC_REG713,REG719,REG721.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC3905_LeaseStartDateOutOfFiscalCalendar","--","AUTO-992","AUTO-2376","Y","14325650.000","509163.397","509163.397","330.000","46294083.000","1223160.475","1223160.475","1051.000",
Gold445,"Core","04-30-2023","uat","gold445-accounting-regression-tests-(reg299-to-reg307)","For deal REG299_4 and client Gold445 repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 23:34:52","2023-04-30 23:38:08","196","REG299_4","50278","@TC121_REG299_4","67844","features/Core/Gold445/REGScenarios/Gold445_REG299,REG306,REG307.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC20_TysonLeaseMonthlyLevelOfDetail","--","","","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorianMEC,"Core","04-30-2023","uat","Verify LER REG-555_GMQ with different adjustment entries options for GoldGregorianMEC","For deal REG-555_GMQ Include Adjusting Entries Post-Transition Only and client GoldGregorianMEC repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:09:05","2023-04-30 17:12:59","233","REG-555_GMQ","568170","@TC4118_REG-555_GMQPostTransitionOnly","99660","features/Core/GoldGregorianMEC/ManualScenarios/GoldGregorianMEC_REG555DifferentAdjustmentEntries.feature","--","--","AUTO-1062","AUTO-2839","NA","NA","NA","NA","NA","NA","NA","NA","NA",
AcctGregorianMEC,"Core","04-30-2023","uat","Contractual Obligations Report","Verify Contractual Obligations Report for ASC 840 Ledger-qdo1 ledger and PLN Functional currency","Pass","Failed","NA","NA","Failed","No WebObject: starting MonthDate Dropdown FOUND, waited for: 1666sec.","--","The Scenario is failing to select an object within the application.Please verify that there has not been a UI change to this object, and that we are not seeing issues with application performance. Please rerun the test.  With repeated results if the issue still persists - contact the Automation team as a locator for a WebElement might be changed requiring maintenance.","2023-04-30 17:16:12","2023-04-30 17:28:31","739","--","--","@TC5579_ContractualObligationsReport_ASC840_PLN","42715","features/Core/AcctGregorianMEC/ContractualObligationReport.feature","--","--","AUTO-3116","AUTO-5434","NA","NA","NA","NA","NA","NA","NA","NA","NA",
Silver445,"Core","04-30-2023","uat","Ledger Export","For deal *LA8689-HVTC5-Advance* and client Silver445 repop and validate LE for Ledger ASC 842 Ledger- qdo1","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 19:41:25","2023-04-30 19:45:05","219","--","--","@TC5848_LA8689-HVTC5-Advance-Cap-OpDeal","42823","features/Core/Silver445/LA8689_HVTC-Advance-CapOpModDeals.feature","--","--","AUTO-1061","AUTO-5737","N","41948972.000","140803.037","140803.037","960.000","41948972.000","140803.037","140803.037","960.000",
Gold,"Core","04-30-2023","uat","generating-report-le-working-with--a-specific-deal","Re-Pop Working FinAcctg-Valid-1A Deal","Pass","Passed","NA","NA","Passed","","","","2023-04-30 17:24:55","2023-04-30 17:26:30","95","FinAcctg-Valid-1A","2243","@TC914_GoldRepopWorkingFinDeals_1A","99660","features/Core/Gold/LedgerExportReportWorkingFinDeals.feature","--","--","","","NA","NA","NA","NA","NA","NA","NA","NA","NA",
SilverGregorianSOD,"Core","04-30-2023","uat","Portfolio Trial Balance Report","User generates Portfolio Trial Balance Report for deal LA8244-FXRemeasure_HVTC18_MOD_A_M and ASC 842 Ledger- qdo1","Pass","Failed","NA","NA","Failed","No WebObject: SetOfBooks FOUND, waited for: 1666sec.","--","The Scenario is failing to select an object within the application.Please verify that there has not been a UI change to this object, and that we are not seeing issues with application performance. Please rerun the test.  With repeated results if the issue still persists - contact the Automation team as a locator for a WebElement might be changed requiring maintenance.","2023-04-30 19:27:35","2023-04-30 19:38:38","662","--","--","@TC5644_PortfolioTrialBalance-LA8244-FXRemeasure_HVTC18_MOD_A_M","79619","features/Core/SilverGregorianSoD/PortfolioTrialBalanceLA8244.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5626_RemeasurementEffectiveDateforDealSinglePaymentAdjustment_LA-7615-2","--","AUTO-3116","AUTO-5589","N","16174852.000","191209.677","191209.677","392.000","16174852.000","191209.677","191209.677","392.000",
SilverGregorianAPI,"API","04-30-2023","uat","federate-user-api-positive-scenario00","Create New SSO User through API request for positive case consisting FederateUserWithValidData data for client SilverGregorianAPI","Fail","Passed","NA","NA","Passed","","","","2023-04-30 18:44:43","2023-04-30 18:50:51","368","--","--","@TC3797_FederateUser_PositiveCase_FederateUserWithValidData","--","features/API/SilverGregorianAPI/FederateUserPositiveTest00API.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/APITestData/@TC3797_FederateUser_PositiveCase_FederateUserWithValidData","FederateUser_488_TC3797_FederateUser_PositiveCase_FederateUserWithValidData.xml","AUTO-35","AUTO-1065","N","20127852.000","142141.416","142141.416","466.000","20127852.000","142141.416","142141.416","466.000",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg136-to-reg141)","For deal REG141_G and client Goldgregorian repop and validate LE","Pass","Failed","Failed","NA","Failed","File name LedgerExport-GGAuto37-137166 is not Found in the /mnt/generatedFiles/uat/","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:12:30","2023-05-01 00:15:45","194","REG141_G","567184","@TC376_REG141_G","137513","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG136,REG139,REG141.feature","--","--","78122","87550","Y","41953416.000","899431.589","899431.589","956.000","68801696.000","1595105.633","1595105.633","1554.000",
SilverGregorianAPI,"API-Core","04-30-2023","uat","Payment Adjustment API","Verify the Remeasurement Effective Date for Deal single payment Adjustment for LA-7615-2","Fail","Failed","Failed","NA","Failed","Timed out after 5 seconds. Unable to locate the element","Timed out after 5 seconds. Unable to locate the element","timed out after 5 seconds. unable to locate the element","2023-05-01 00:47:38","2023-05-01 00:50:16","157","--","--","@TC5626_RemeasurementEffectiveDateforDealSinglePaymentAdjustment_LA-7615-2","80108","features/API/SilverGregorianAPI/RemeasurementEffectiveDateForSinglePaymentAdjustment.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5626_RemeasurementEffectiveDateforDealSinglePaymentAdjustment_LA-7615-2","--","AUTO-3116","AUTO-5260","NA","NA","NA","NA","NA","NA","NA","NA","NA",
